"humanId","generation","parent1Id","parent2Id","sexGenome1","sexGenome2","gender","skinColorGenome1","skinColorGenome1isDominant","skinColorGenome2","skinColorGenome2isDominant","humanSkinColor","eyeColorGenome1","eyeColorGenome1isDominant","eyeColorGenome2","eyeColorGenome2isDominant","humanEyeColor","hairColorGenome1","hairColorGenome1isDominant","hairColorGenome2","hairColorGenome2isDominant","humanHairColor","hairTypeGenome1","hairTypeGenome1isDominant","hairTypeGenome2","hairTypeGenome2isDominant","humanHairType","heightTypeGenome1","heightTypeGenome1isDominant","heightTypeGenome2","heightTypeGenome2isDominant","humanHeightType"
1489506718737,0,0,0,"x","x","female","white",true,"mixed",false,"white","lightBlue",false,"green",true,"green","brown",false,"brown",true,"brown","coily",false,"wavy",true,"wavy","tall",false,"medium",true,"medium"
1175449691067,0,0,0,"x","x","female","white",true,"mixed",true,"mixed","lightBrown",true,"hazel",true,"hazel","red",true,"blond",true,"blond","coily",true,"wavy",false,"coily","small",false,"small",false,"small"
301149155322,0,0,0,"x","x","female","white",true,"black",true,"white","hazel",false,"lightBlue",true,"lightBlue","chatain",true,"brown",true,"chatain","straight",true,"curly",true,"straight","small",true,"small",true,"small"
102651797111,0,0,0,"x","x","female","white",false,"mixed",false,"mixed","black",true,"hazel",true,"hazel","red",true,"blond",true,"blond","straight",true,"coily",true,"coily","small",true,"small",true,"small"
996760142712,0,0,0,"x","x","female","black",false,"black",true,"black","blue",true,"lightBlue",false,"blue","red",false,"blond",false,"red","coily",false,"straight",false,"straight","medium",false,"tall",true,"tall"
1232855346975,0,0,0,"x","x","female","mixed",false,"black",true,"black","black",true,"green",true,"black","brown",false,"brown",false,"brown","wavy",false,"curly",true,"curly","tall",false,"small",false,"small"
97074262852,0,0,0,"x","x","female","white",false,"white",true,"white","green",true,"lightBrown",true,"green","red",false,"brown",false,"brown","curly",true,"straight",false,"curly","small",true,"small",false,"small"
1609942479907,0,0,0,"x","x","female","mixed",false,"mixed",true,"mixed","hazel",true,"lightBrown",false,"hazel","red",true,"red",false,"red","curly",true,"curly",false,"curly","tall",true,"small",true,"tall"
1096541448874,0,0,0,"x","x","female","white",true,"black",false,"white","blue",false,"brown",true,"brown","chatain",true,"black",true,"chatain","wavy",true,"straight",false,"wavy","medium",false,"medium",false,"medium"
1616916188903,0,0,0,"x","x","female","mixed",false,"black",false,"mixed","lightBlue",true,"green",false,"lightBlue","brown",false,"chatain",false,"brown","curly",false,"coily",false,"curly","tall",true,"medium",true,"tall"
